facility_id,facility_name,facility_type_name,zip_code,interior_sq_ft,population,density,interior_sq_ft_imputed,population_imputed,density_imputed,sqft_score,population_score,density_score,facility_type_multiplier,facility_staffing_weight,facility_minimum_employees,facility_target_employees,department_id,department_name,department_type_id,department_type_name,department_share,department_target_employees
1,Main Demo Post Office,Post Office,77001,12431.0,6149.5,32.4,True,True,True,0.9981763004371402,0.8638191011821683,0.67463088405847,1.0,0.8837790692830308,4,9,1,HOMDPO001_Delivery,2,Delivery,0.55,4
1,Main Demo Post Office,Post Office,77001,12431.0,6149.5,32.4,True,True,True,0.9981763004371402,0.8638191011821683,0.67463088405847,1.0,0.8837790692830308,4,9,2,HOMDPO001_Logistics,3,Logistics,0.2,2
1,Main Demo Post Office,Post Office,77001,12431.0,6149.5,32.4,True,True,True,0.9981763004371402,0.8638191011821683,0.67463088405847,1.0,0.8837790692830308,4,9,1091,HOMDPO001_Retail Services,1,Retail Services,0.25,3
2,HOUSTON - MAIN OFFICE,Post Office,77002,25206.0,21015.0,4119.4,False,False,False,1.0730126057119465,0.9854815476632127,1.6004957529698522,1.0,1.133046846266344,4,10,3,HAHOSHPO002_Retail Services,1,Retail Services,0.25,3
2,HOUSTON - MAIN OFFICE,Post Office,77002,25206.0,21015.0,4119.4,False,False,False,1.0730126057119465,0.9854815476632127,1.6004957529698522,1.0,1.133046846266344,4,10,4,HAHOSHPO002_Delivery,2,Delivery,0.55,5
2,HOUSTON - MAIN OFFICE,Post Office,77002,25206.0,21015.0,4119.4,False,False,False,1.0730126057119465,0.9854815476632127,1.6004957529698522,1.0,1.133046846266344,4,10,5,HAHOSHPO002_Logistics,3,Logistics,0.2,2
3,HOUSTON - EASTWOOD STATION,Post Office,77023,20374.0,24281.0,1714.8,False,False,False,1.0504813888639626,0.9997841208708269,1.4320434220359923,1.0,1.101177398624716,4,10,21,HAHOEPO023_Retail Services,1,Retail Services,0.25,3
3,HOUSTON - EASTWOOD STATION,Post Office,77023,20374.0,24281.0,1714.8,False,False,False,1.0504813888639626,0.9997841208708269,1.4320434220359923,1.0,1.101177398624716,4,10,22,HAHOEPO023_Delivery,2,Delivery,0.55,5
3,HOUSTON - EASTWOOD STATION,Post Office,77023,20374.0,24281.0,1714.8,False,False,False,1.0504813888639626,0.9997841208708269,1.4320434220359923,1.0,1.101177398624716,4,10,23,HAHOEPO023_Logistics,3,Logistics,0.2,2
4,HOUSTON - T W HOUSE,Post Office,77008,31287.0,41645.0,2481.1,False,False,False,1.0958931862725068,1.0531987315661422,1.5030387130061917,1.0,1.1535362448874844,4,10,6,HAHOTWHPO008_Retail Services,1,Retail Services,0.25,3
4,HOUSTON - T W HOUSE,Post Office,77008,31287.0,41645.0,2481.1,False,False,False,1.0958931862725068,1.0531987315661422,1.5030387130061917,1.0,1.1535362448874844,4,10,7,HAHOTWHPO008_Delivery,2,Delivery,0.55,5
4,HOUSTON - T W HOUSE,Post Office,77008,31287.0,41645.0,2481.1,False,False,False,1.0958931862725068,1.0531987315661422,1.5030387130061917,1.0,1.1535362448874844,4,10,8,HAHOTWHPO008_Logistics,3,Logistics,0.2,2
5,USPS North Houston TX Distribution Center,Mail Processing,77315,102479.5,6149.5,32.4,True,True,True,1.2215052504405086,0.8638191011821683,0.67463088405847,2.4,2.34638349726735,15,28,9,HAHOUNHTDC998_Administrative,6,Administrative,0.1,3
5,USPS North Houston TX Distribution Center,Mail Processing,77315,102479.5,6149.5,32.4,True,True,True,1.2215052504405086,0.8638191011821683,0.67463088405847,2.4,2.34638349726735,15,28,10,HAHOUNHTDC998_Logistics,3,Logistics,0.3,8
5,USPS North Houston TX Distribution Center,Mail Processing,77315,102479.5,6149.5,32.4,True,True,True,1.2215052504405086,0.8638191011821683,0.67463088405847,2.4,2.34638349726735,15,28,11,HAHOUNHTDC998_Operations,4,Operations,0.45,12
