source_code,count,proportion,percentage
SP-1321,366,0.003680574410957251,0.36805744109572514
RJ-2279,334,0.0033587755553544313,0.33587755553544313
SP-1308,257,0.0025844470590601462,0.25844470590601465
ES-2910,253,0.002544222202109794,0.2544222202109794
MG-3840,248,0.002493941130921853,0.24939411309218532
SP-1224,242,0.0024336038454963243,0.24336038454963244
SP-1170,240,0.0024134914170211483,0.24134914170211483
SP-1305,239,0.00240343520278356,0.240343520278356
SP-1223,236,0.002373266560070796,0.23732665600707958
SP-1304,215,0.002162086061081445,0.21620860610814452
MG-3940,211,0.0021218612041310927,0.21218612041310927
SP-1320,199,0.0020011866332800355,0.20011866332800354
SP-1348,190,0.0019106807051417424,0.19106807051417424
SP-1327,183,0.0018402872054786256,0.18402872054786257
SP-1356,182,0.0018302309912410373,0.18302309912410372
RJ-2277,181,0.0018201747770034494,0.18201747770034493
SP-1318,177,0.0017799499200530967,0.17799499200530966
ES-2916,175,0.0017598374915779205,0.17598374915779205
MG-3516,171,0.001719612634627568,0.1719612634627568
SP-1306,165,0.0016592753492020394,0.16592753492020396
SP-1440,155,0.0015587132068261582,0.1558713206826158
SP-1350,155,0.0015587132068261582,0.1558713206826158
SP-1341,153,0.001538600778350982,0.1538600778350982
SP-1317,151,0.0015184883498758058,0.1518488349875806
RJ-2054,148,0.0014883197071630413,0.14883197071630413
SP-0676,145,0.0014581510644502771,0.1458151064450277
SP-1334,145,0.0014581510644502771,0.1458151064450277
SP-0501,140,0.0014078699932623365,0.14078699932623365
RJ-2275,138,0.0013877575647871603,0.13877575647871604
MG-3550,138,0.0013877575647871603,0.13877575647871604
RJ-2889,137,0.001377701350549572,0.1377701350549572
SP-1807,137,0.001377701350549572,0.1377701350549572
SP-1333,135,0.0013575889220743959,0.13575889220743959
SP-1402,134,0.0013475327078368079,0.1347532707836808
SP-0122,134,0.0013475327078368079,0.1347532707836808
SP-0541,133,0.0013374764935992196,0.13374764935992198
SP-1222,133,0.0013374764935992196,0.13374764935992198
SP-1340,132,0.0013274202793616314,0.13274202793616313
SP-1409,132,0.0013274202793616314,0.13274202793616313
SP-1314,130,0.0013073078508864552,0.13073078508864552
MG-3570,128,0.001287195422411279,0.1287195422411279
RJ-2055,125,0.0012570267796985148,0.1257026779698515
RJ-2422,124,0.0012469705654609266,0.12469705654609266
MG-3755,124,0.0012469705654609266,0.12469705654609266
SP-1345,124,0.0012469705654609266,0.12469705654609266
SP-1307,123,0.0012369143512233384,0.12369143512233384
SP-0717,122,0.0012268581369857504,0.12268581369857504
SP-1107,122,0.0012268581369857504,0.12268581369857504
MA-6507,121,0.0012168019227481622,0.12168019227481622
MG-3841,121,0.0012168019227481622,0.12168019227481622
SP-0131,121,0.0012168019227481622,0.12168019227481622
SP-1106,120,0.0012067457085105742,0.12067457085105741
