package_id_hex,event_type_name,package_movement_event_type_id,package_status_name,package_status_id,facility_id,from_facility_id,to_facility_id,processed_by_employee_id,event_timestamp,expected_event_at,delay_minutes,delay_reason,movement_note
00003cc3c764524288025f5a2fef8d1e,Received At Facility,1,Received,1,92,,,,2017-02-03 03:37:25,,0,,P2P origin lifecycle: Received At Facility
00003cc3c764524288025f5a2fef8d1e,Sorted At Facility,4,Processing,2,92,,,,2017-02-04 03:44:38,,0,,P2P origin lifecycle: Sorted At Facility
00003cc3c764524288025f5a2fef8d1e,Departed Facility,5,In Transit,4,92,92.0,,,2017-02-06 17:41:04,,0,,P2P origin lifecycle: Departed Facility
00037275e12f55b89b6f8ca9db1689b5,Received At Facility,1,Received,1,404,,,,2017-01-25 12:14:24,,0,,P2P origin lifecycle: Received At Facility
00037275e12f55b89b6f8ca9db1689b5,Sorted At Facility,4,Processing,2,404,,,,2017-01-26 03:48:45,,0,,P2P origin lifecycle: Sorted At Facility
00037275e12f55b89b6f8ca9db1689b5,Departed Facility,5,In Transit,4,404,404.0,,,2017-01-26 18:06:45,,0,,P2P origin lifecycle: Departed Facility
00abd073b5c2565895aee42f4c0fcd23,Received At Facility,1,Received,1,431,,,,2017-01-19 18:02:57,,0,,P2P origin lifecycle: Received At Facility
00abd073b5c2565895aee42f4c0fcd23,Sorted At Facility,4,Processing,2,431,,,,2017-01-20 03:50:28,,0,,P2P origin lifecycle: Sorted At Facility
00abd073b5c2565895aee42f4c0fcd23,Departed Facility,5,In Transit,4,431,431.0,,,2017-01-21 09:20:28,,0,,P2P origin lifecycle: Departed Facility
00e20f26e2cc57bdbcc6daebe51d0f2b,Received At Facility,1,Received,1,421,,,,2017-02-02 06:04:06,,0,,P2P origin lifecycle: Received At Facility
00e20f26e2cc57bdbcc6daebe51d0f2b,Sorted At Facility,4,Processing,2,421,,,,2017-02-02 06:19:06,,0,,P2P origin lifecycle: Sorted At Facility
00e20f26e2cc57bdbcc6daebe51d0f2b,Departed Facility,5,In Transit,4,421,421.0,,,2017-02-02 15:24:06,,0,,P2P origin lifecycle: Departed Facility
01889f610972515aa92e914ff1531860,Received At Facility,1,Received,1,318,,,,2016-10-05 13:18:41,,0,,P2P origin lifecycle: Received At Facility
01889f610972515aa92e914ff1531860,Sorted At Facility,4,Processing,2,318,,,,2016-10-06 04:41:51,,0,,P2P origin lifecycle: Sorted At Facility
01889f610972515aa92e914ff1531860,Departed Facility,5,In Transit,4,318,318.0,,,2016-10-10 04:41:51,,0,,P2P origin lifecycle: Departed Facility
01be0cc1c399573fb4dc273178807ee6,Received At Facility,1,Received,1,436,,,,2017-01-25 15:37:48,,0,,P2P origin lifecycle: Received At Facility
01be0cc1c399573fb4dc273178807ee6,Sorted At Facility,4,Processing,2,436,,,,2017-01-25 16:26:48,,0,,P2P origin lifecycle: Sorted At Facility
01be0cc1c399573fb4dc273178807ee6,Departed Facility,5,In Transit,4,436,436.0,,,2017-01-26 20:32:48,,0,,P2P origin lifecycle: Departed Facility
020eb4355d5d5af088ff2d8a1f677e7d,Received At Facility,1,Received,1,329,,,,2017-01-25 07:09:30,,0,,P2P origin lifecycle: Received At Facility
020eb4355d5d5af088ff2d8a1f677e7d,Sorted At Facility,4,Processing,2,329,,,,2017-01-27 15:09:55,,0,,P2P origin lifecycle: Sorted At Facility
020eb4355d5d5af088ff2d8a1f677e7d,Departed Facility,5,In Transit,4,329,329.0,,,2017-02-06 12:31:27,,0,,P2P origin lifecycle: Departed Facility
0250cdd3f2a7515f95806cba4fb08ae3,Received At Facility,1,Received,1,418,,,,2017-01-24 11:10:13,,0,,P2P origin lifecycle: Received At Facility
0250cdd3f2a7515f95806cba4fb08ae3,Sorted At Facility,4,Processing,2,418,,,,2017-01-24 12:05:13,,0,,P2P origin lifecycle: Sorted At Facility
0250cdd3f2a7515f95806cba4fb08ae3,Departed Facility,5,In Transit,4,418,418.0,,,2017-01-26 11:10:38,,0,,P2P origin lifecycle: Departed Facility
