source_code,count,proportion,percentage
SP-1321,353,0.0036734099234099235,0.3673409923409923
RJ-2279,325,0.003382034632034632,0.3382034632034632
ES-2910,245,0.0025495337995337995,0.25495337995337997
SP-1308,245,0.0025495337995337995,0.25495337995337997
MG-3840,242,0.0025183150183150185,0.2518315018315018
SP-1305,235,0.0024454711954711955,0.24454711954711955
SP-1224,231,0.002403846153846154,0.2403846153846154
SP-1170,224,0.002331002331002331,0.2331002331002331
SP-1223,223,0.0023205960705960705,0.23205960705960704
SP-1304,210,0.0021853146853146855,0.21853146853146854
MG-3940,206,0.0021436896436896435,0.21436896436896435
SP-1320,194,0.002018814518814519,0.2018814518814519
SP-1348,181,0.0018835331335331335,0.18835331335331335
SP-1327,178,0.0018523143523143523,0.18523143523143523
SP-1318,174,0.0018106893106893107,0.18106893106893107
SP-1356,173,0.0018002830502830503,0.18002830502830502
RJ-2277,172,0.00178987678987679,0.178987678987679
ES-2916,171,0.0017794705294705295,0.17794705294705296
MG-3516,168,0.0017482517482517483,0.17482517482517482
SP-1306,160,0.001665001665001665,0.1665001665001665
SP-1440,152,0.0015817515817515818,0.15817515817515818
SP-1341,150,0.001560939060939061,0.1560939060939061
SP-1350,149,0.0015505328005328005,0.15505328005328006
SP-1317,146,0.0015193140193140193,0.15193140193140192
RJ-2054,143,0.001488095238095238,0.1488095238095238
SP-0501,139,0.0014464701964701965,0.14464701964701965
SP-0676,139,0.0014464701964701965,0.14464701964701965
MG-3550,137,0.0014256576756576757,0.14256576756576758
SP-1334,136,0.0014152514152514153,0.14152514152514153
RJ-2889,135,0.0014048451548451548,0.1404845154845155
RJ-2275,133,0.001384032634032634,0.1384032634032634
SP-1333,133,0.001384032634032634,0.1384032634032634
SP-0122,132,0.0013736263736263737,0.13736263736263737
SP-0541,131,0.0013632201132201132,0.13632201132201133
SP-1222,131,0.0013632201132201132,0.13632201132201133
SP-1807,130,0.0013528138528138528,0.13528138528138528
SP-1340,129,0.0013424075924075925,0.13424075924075926
SP-1402,127,0.0013215950715950715,0.13215950715950714
SP-1314,125,0.0013007825507825508,0.13007825507825507
MG-3570,123,0.00127997002997003,0.127997002997003
SP-1345,123,0.00127997002997003,0.127997002997003
SP-1409,123,0.00127997002997003,0.127997002997003
SP-0717,121,0.0012591575091575092,0.1259157509157509
MG-3841,119,0.0012383449883449883,0.12383449883449883
SP-1107,119,0.0012383449883449883,0.12383449883449883
MG-3755,117,0.0012175324675324675,0.12175324675324675
