NAME,B25003_001E,B25003_002E,B25003_003E,zip code tabulation area
ZCTA5 00601,5768,3891,1877,00601
ZCTA5 00602,12954,9529,3425,00602
ZCTA5 00603,20131,11531,8600,00603
ZCTA5 00606,1860,1479,381,00606
ZCTA5 00610,9604,6879,2725,00610
ZCTA5 00611,679,429,250,00611
ZCTA5 00612,24426,15666,8760,00612
ZCTA5 00616,3580,2640,940,00616
ZCTA5 00617,9063,6722,2341,00617
ZCTA5 00622,3256,2345,911,00622
ZCTA5 00623,15881,12125,3756,00623
ZCTA5 00624,7456,5235,2221,00624
ZCTA5 00627,12431,9436,2995,00627
ZCTA5 00631,450,293,157,00631
ZCTA5 00636,304,149,155,00636
ZCTA5 00637,8236,6273,1963,00637
ZCTA5 00638,6028,4393,1635,00638
ZCTA5 00641,9594,6272,3322,00641
ZCTA5 00646,12838,10105,2733,00646
ZCTA5 00647,1881,1322,559,00647
ZCTA5 00650,5517,4059,1458,00650
ZCTA5 00652,1612,1295,317,00652
ZCTA5 00653,3910,2652,1258,00653
ZCTA5 00656,6461,4646,1815,00656
ZCTA5 00659,13338,9488,3850,00659
ZCTA5 00660,6180,4488,1692,00660
ZCTA5 00662,14285,9561,4724,00662
ZCTA5 00664,5277,3287,1990,00664
ZCTA5 00667,8827,6152,2675,00667
ZCTA5 00669,10657,6607,4050,00669
ZCTA5 00670,3034,2212,822,00670
ZCTA5 00674,15599,11689,3910,00674
ZCTA5 00676,13585,8616,4969,00676
ZCTA5 00677,5897,4207,1690,00677
ZCTA5 00678,9041,6337,2704,00678
ZCTA5 00680,18130,9625,8505,00680
ZCTA5 00682,12206,5437,6769,00682
ZCTA5 00683,11218,7465,3753,00683
ZCTA5 00685,14790,10916,3874,00685
ZCTA5 00687,10903,8018,2885,00687
ZCTA5 00688,4043,2521,1522,00688
ZCTA5 00690,2222,995,1227,00690
ZCTA5 00692,13136,9139,3997,00692
ZCTA5 00693,22156,16523,5633,00693
ZCTA5 00694,68,68,0,00694
ZCTA5 00698,13070,9533,3537,00698
ZCTA5 00703,9218,5950,3268,00703
ZCTA5 00704,2618,1981,637,00704
ZCTA5 00705,9698,7270,2428,00705
ZCTA5 00707,4211,3104,1107,00707
ZCTA5 00714,6739,5120,1619,00714
ZCTA5 00715,905,693,212,00715
ZCTA5 00716,12525,7648,4877,00716
ZCTA5 00717,6779,3118,3661,00717
ZCTA5 00718,8590,6270,2320,00718
ZCTA5 00719,9530,6635,2895,00719
ZCTA5 00720,6864,4822,2042,00720
ZCTA5 00723,6473,4485,1988,00723
ZCTA5 00725,30764,19852,10912,00725
ZCTA5 00727,21429,15280,6149,00727
ZCTA5 00728,13940,10534,3406,00728
ZCTA5 00729,17877,13321,4556,00729
ZCTA5 00730,13892,9263,4629,00730
ZCTA5 00731,3717,2990,727,00731
ZCTA5 00735,4444,3359,1085,00735
ZCTA5 00736,18720,11820,6900,00736
ZCTA5 00738,12573,8422,4151,00738
ZCTA5 00739,13007,8661,4346,00739
ZCTA5 00740,615,375,240,00740
ZCTA5 00741,1476,1103,373,00741
ZCTA5 00745,17400,12393,5007,00745
ZCTA5 00751,8406,6562,1844,00751
